Index,UTC,Lon,Lat
438,06:09:13.000 06/07/2023,114.89809367,4.97845267
439,06:09:15.000 06/07/2023,114.89809383,4.97845267
440,06:09:16.000 06/07/2023,114.89809400,4.97845283
441,06:09:17.000 06/07/2023,114.89809400,4.97845283
442,06:09:18.000 06/07/2023,114.89809400,4.97845300
443,06:09:19.000 06/07/2023,114.89809417,4.97845300
444,06:09:20.000 06/07/2023,114.89809417,4.97845317
445,06:09:21.000 06/07/2023,114.89809433,4.97845317
446,06:09:22.000 06/07/2023,114.89809450,4.97845317
447,06:09:23.000 06/07/2023,114.89809450,4.97845333
448,06:09:24.000 06/07/2023,114.89809467,4.97845333
449,06:09:26.000 06/07/2023,114.89809483,4.97845350
450,06:09:28.000 06/07/2023,114.89809483,4.97845367
451,06:09:29.000 06/07/2023,114.89809500,4.97845367
452,06:09:31.000 06/07/2023,114.89809517,4.97845383
453,06:09:32.000 06/07/2023,114.89809517,4.97845383
454,06:09:34.000 06/07/2023,114.89809533,4.97845383
455,06:09:35.000 06/07/2023,114.89809533,4.97845383
456,06:09:37.000 06/07/2023,114.89809550,4.97845400
457,06:09:38.000 06/07/2023,114.89809550,4.97845400
458,06:09:39.000 06/07/2023,114.89809550,4.97845400
459,06:09:41.000 06/07/2023,114.89809567,4.97845400
460,06:09:43.000 06/07/2023,114.89809567,4.97845400
461,06:09:44.000 06/07/2023,114.89809583,4.97845400
462,06:09:46.000 06/07/2023,114.89809583,4.97845400
463,06:09:47.000 06/07/2023,114.89809583,4.97845400
464,06:09:48.000 06/07/2023,114.89809600,4.97845417
465,06:09:49.000 06/07/2023,114.89809600,4.97845417
466,06:09:50.000 06/07/2023,114.89809600,4.97845417
467,06:09:51.000 06/07/2023,114.89809600,4.97845417
468,06:09:52.000 06/07/2023,114.89809600,4.97845433
469,06:09:53.000 06/07/2023,114.89809600,4.97845433
470,06:09:54.000 06/07/2023,114.89809600,4.97845433
471,06:09:56.000 06/07/2023,114.89809617,4.97845433
472,06:09:57.000 06/07/2023,114.89809600,4.97845433
473,06:09:59.000 06/07/2023,114.89809617,4.97845450
474,06:10:00.000 06/07/2023,114.89809600,4.97845450
475,06:10:02.000 06/07/2023,114.89809600,4.97845450
476,06:10:03.000 06/07/2023,114.89809600,4.97845450
477,06:10:05.000 06/07/2023,114.89809600,4.97845467
478,06:10:06.000 06/07/2023,114.89809600,4.97845467
